Date,Open,High,Low,Close,Volume,Adj Close
2007-01-03,86.289999,86.579999,81.899999,83.800002,309579900.0,11.01952
2007-01-04,84.050001,85.949998,83.820003,85.659998,211815100.0,11.264106
2007-01-05,85.77,86.199997,84.400002,85.049997,208685400.0,11.183892
2007-01-08,85.959998,86.529998,85.280003,85.47,199276700.0,11.239121
2007-01-09,86.450003,92.979999,85.15,92.570003,837324600.0,12.172756
2007-01-10,94.749999,97.800002,93.450003,96.999997,738220000.0,12.755291
2007-01-11,95.94,96.779999,95.1,95.800003,360063200.0,12.597495
2007-01-12,94.590002,95.059999,93.229998,94.620003,328172600.0,12.442327
2007-01-16,95.68,97.250003,95.450002,97.099999,311019100.0,12.768441
2007-01-17,97.560003,97.599998,94.820001,94.949997,411565000.0,12.485721
2007-01-18,92.099998,92.109999,89.050002,89.070003,591151400.0,11.712514
2007-01-19,88.629999,89.650002,88.120001,88.500003,341118400.0,11.63756
2007-01-22,89.139997,89.159998,85.649998,86.789997,363506500.0,11.412698
2007-01-23,85.73,87.51,85.510001,85.699999,301856100.0,11.269366
2007-01-24,86.680001,87.149999,86.080001,86.700002,231953400.0,11.400864
2007-01-25,87.109998,88.500003,86.03,86.249998,226493400.0,11.341689
2007-01-26,87.109998,87.369997,84.990003,85.379998,246718500.0,11.227286
2007-01-29,86.299999,86.650001,85.530002,85.939998,225416100.0,11.300925
2007-01-30,86.430002,86.489997,85.250002,85.550002,144492600.0,11.249641
2007-01-31,84.86,85.999999,84.350001,85.73,214017300.0,11.273311
2007-02-01,86.229998,86.269999,84.739997,84.739997,166085500.0,11.143128
2007-02-02,84.120003,85.250002,83.7,84.749997,155382500.0,11.144443
2007-02-05,84.3,85.230001,83.939999,83.939999,144713100.0,11.037929
2007-02-06,84.449997,84.469997,82.860001,84.149997,216098400.0,11.065544
2007-02-07,84.479998,86.380001,83.550003,86.150002,266706300.0,11.32854
2007-02-08,85.429999,86.509997,85.409999,86.180003,169757700.0,11.332485
2007-02-09,85.880003,86.199997,83.210002,83.270003,215135200.0,10.949827
2007-02-12,84.430003,85.18,83.629998,84.88,181017900.0,11.161538
2007-02-13,85.16,85.290003,84.3,84.700003,145246500.0,11.137868
2007-02-14,84.630001,85.639997,84.57,85.300003,126995400.0,11.216767
2007-02-15,85.44,85.619997,84.779998,85.210001,90915300.0,11.204932
2007-02-16,85.250002,85.409999,84.660002,84.829999,99967000.0,11.154963
2007-02-20,84.650002,86.160003,84.159997,85.899997,154425600.0,11.295665
2007-02-21,85.979999,89.489999,85.959998,89.199999,288828400.0,11.729608
2007-02-22,90.800002,90.810002,88.529997,89.509999,209556200.0,11.770373
2007-02-23,89.159998,90.339998,88.849998,89.070003,129473400.0,11.712514
2007-02-26,89.84,89.999997,87.610003,88.510003,153962200.0,11.638875
2007-02-27,86.299999,87.079997,83.41,83.929998,286453300.0,11.036614
2007-02-28,82.999997,85.600003,82.999997,84.610001,229868800.0,11.126033
2007-03-01,84.030001,88.309999,83.750001,87.060003,353882200.0,11.448203
2007-03-02,86.770003,87.540001,85.210001,85.409999,215000100.0,11.231231
2007-03-05,85.890003,88.65,85.76,86.32,209724900.0,11.350894
2007-03-06,87.8,88.309999,87.399998,88.190002,180796700.0,11.596796
2007-03-07,88.049999,88.97,87.449999,87.719998,156571100.0,11.534991
2007-03-08,88.589998,88.720001,87.459999,87.999998,127752800.0,11.571811
2007-03-09,88.800003,88.849998,87.399998,87.969997,112959000.0,11.567866
2007-03-12,88.07,89.989997,87.989998,89.870001,182352100.0,11.817712
2007-03-13,89.409997,90.599998,88.400001,88.400001,216972700.0,11.62441
2007-03-14,88.599998,89.999997,87.920003,89.999997,199146500.0,11.834806
2007-03-15,89.960003,90.359999,89.310001,89.570001,139874700.0,11.778263
2007-03-16,89.54,89.989997,89.320002,89.590001,142926000.0,11.780893
2007-03-19,90.240003,91.549999,89.590001,91.130003,178240300.0,11.9834
2007-03-20,91.350001,91.839999,91.060001,91.479998,122229100.0,12.029423
2007-03-21,91.990003,94.000002,91.650002,93.869999,171724000.0,12.343703
2007-03-22,93.730002,94.359997,92.999999,93.960001,140373100.0,12.355538
2007-03-23,93.35,94.069997,93.299999,93.519998,112721000.0,12.297679
2007-03-26,93.990002,95.899999,93.299999,95.849998,216246800.0,12.604069
2007-03-27,95.710001,96.83,94.999998,95.460002,233013200.0,12.552785
2007-03-28,94.880002,95.400001,93.150002,93.239998,235584300.0,12.260859
2007-03-29,94.19,94.19,92.230001,93.750003,181430900.0,12.327924
2007-03-30,94.280002,94.679997,92.75,92.909997,150139500.0,12.217465
2007-04-02,94.139998,94.250001,93.02,93.650001,125498100.0,12.314774
2007-04-03,94.139998,95.229997,93.760003,94.5,145983600.0,12.426547
2007-04-04,94.939997,95.140001,94.129998,94.270001,119196000.0,12.396303
2007-04-05,94.119998,94.679997,93.519998,94.679997,88879000.0,12.450216
2007-04-09,95.210003,95.299998,93.04,93.650001,103335400.0,12.314774
2007-04-10,93.670001,94.260001,93.410002,94.250001,88116700.0,12.393673
2007-04-11,93.9,93.950001,92.329997,92.590003,137254600.0,12.175386
2007-04-12,92.039997,92.310003,90.72,92.190001,164168900.0,12.122787
2007-04-13,90.899998,91.400002,90.059999,90.240003,179985400.0,11.866366
2007-04-16,90.569997,91.499998,90.250003,91.430003,152258400.0,12.022849
2007-04-17,92.000003,92.300003,89.699997,90.349998,187980100.0,11.880831
2007-04-18,90.160001,90.850003,89.600001,90.4,116011000.0,11.887406
2007-04-19,90.190001,91.249999,89.83,90.270003,106478400.0,11.870311
2007-04-20,90.889997,91.179997,90.550003,90.969999,130694900.0,11.962359
2007-04-23,91.59,93.799997,91.420003,93.509997,195072500.0,12.296364
2007-04-24,93.960001,96.390003,91.3,93.239998,263813200.0,12.260859
2007-04-25,94.23,95.400001,93.799997,95.349999,296786000.0,12.53832
2007-04-26,101.580002,102.500003,98.3,98.839999,434444500.0,12.997248
2007-04-27,98.179997,99.949998,97.69,99.919997,174850900.0,13.139265
2007-04-30,100.090001,101.000002,99.669998,99.800001,154127400.0,13.123486
2007-05-01,99.590003,100.35,98.549999,99.47,133130900.0,13.080091
2007-05-02,99.649998,100.539998,99.47,100.390001,126286300.0,13.201069
2007-05-03,100.730002,101.449999,100.009999,100.400002,144019400.0,13.202384
2007-05-04,100.799997,101.600002,100.499997,100.809998,95496800.0,13.256298
2007-05-07,101.079997,104.349998,101.010002,103.920002,215389300.0,13.665257
2007-05-08,103.469998,105.149997,103.419997,105.060001,195999300.0,13.815164
2007-05-09,104.909998,106.959998,104.889997,106.880003,179439400.0,14.054491
2007-05-10,106.629997,108.840001,105.920001,107.34,299314400.0,14.114979
2007-05-11,107.740003,109.130001,106.780001,108.739999,163424100.0,14.299076
2007-05-14,109.619999,110.000001,108.250001,109.36,162986600.0,14.380605
2007-05-15,109.569998,110.199999,106.48,107.519998,238628600.0,14.138649
2007-05-16,108.530001,108.830001,103.419997,107.34,281691900.0,14.114979
2007-05-17,107.150002,109.869998,107.150002,109.440001,183822800.0,14.391125
2007-05-18,110.23,110.640002,109.770002,110.020001,155336300.0,14.467394
2007-05-21,110.310001,112.449997,110.050002,111.98,159973100.0,14.725129
2007-05-22,112.489998,113.75,112.01,113.539995,143102400.0,14.930265
2007-05-23,114.020006,115.000002,112.59,112.889994,227843700.0,14.844792
2007-05-24,112.810005,114.460003,110.370003,110.689997,221840500.0,14.555497
2007-05-25,112.0,113.780001,111.500002,113.619997,158239900.0,14.940785
2007-05-29,114.450003,114.859999,112.690002,114.35,161423500.0,15.036779
2007-05-30,114.299999,118.879997,113.529995,118.769995,369611200.0,15.617999
2007-05-31,120.069998,122.170006,119.539999,121.189997,324266600.0,15.936224
2007-06-01,121.099995,121.189997,118.289997,118.4,221315500.0,15.569346
2007-06-04,118.630005,121.729996,117.900002,121.33,221668300.0,15.954634
2007-06-05,121.410002,122.690004,120.499994,122.670004,230196400.0,16.130842
2007-06-06,122.299995,124.049995,121.950001,123.639999,278060300.0,16.258394
2007-06-07,124.990004,127.609997,123.190002,124.069996,478769900.0,16.314938
2007-06-08,125.819996,125.829996,122.289995,124.490005,310420600.0,16.370168
2007-06-11,126.0,126.150003,119.539999,120.190001,468564600.0,15.804727
2007-06-12,119.349995,121.709995,118.309998,120.380005,356641600.0,15.829712
2007-06-13,121.149996,121.189997,115.399998,117.500006,430338300.0,15.450998
2007-06-14,117.199999,119.449997,116.419994,118.749994,243316500.0,15.615369
2007-06-15,120.619997,120.669998,119.860006,120.499994,202804700.0,15.84549
2007-06-18,123.280005,125.179995,122.540001,125.090006,227651200.0,16.449067
2007-06-19,124.689997,125.010004,122.909996,123.66,235756500.0,16.261024
2007-06-20,123.870005,124.659996,121.500004,121.550005,224378000.0,15.983564
2007-06-21,121.699995,124.290001,120.719999,123.900005,216761300.0,16.292584
2007-06-22,123.850004,124.450005,122.379997,122.999998,157969000.0,16.174235
2007-06-25,124.189999,125.090006,121.059994,122.339996,241350900.0,16.087447
2007-06-26,123.979994,123.999994,118.719994,119.650002,336251300.0,15.733718
2007-06-27,120.609997,122.040003,119.260006,121.889999,243674200.0,16.028273
2007-06-28,122.359997,122.49,119.999996,120.559996,209535900.0,15.85338
2007-06-29,121.970001,123.999994,121.089994,122.040003,284460400.0,16.047998
2007-07-02,121.049994,122.090004,119.299994,121.259998,248715600.0,15.945429
2007-07-03,122.000002,127.400005,121.500004,127.17,290620400.0,16.722582
2007-07-05,128.799997,132.969999,128.689995,132.749994,363262900.0,17.456339
