Date,Open,High,Low,Close,Volume,Adjusted Close,change
2016-05-05,17664.480469,17736.109375,17615.820312,17660.710938,81530000.0,17660.710938,
2016-05-04,17735.019531,17738.060547,17609.009766,17651.259766,95020000.0,17651.259766,-0.0005351524088231807
2016-05-03,17870.75,17870.75,17670.880859,17750.910156,97060000.0,17750.910156,0.005645511500088407
2016-05-02,17783.779297,17912.349609,17773.710938,17891.160156,80100000.0,17891.160156,0.007901003315742283
2016-04-29,17813.089844,17814.830078,17651.980469,17773.640625,136670000.0,17773.640625,-0.006568580794945822
2016-04-28,18023.880859,18035.730469,17796.550781,17830.759766,100920000.0,17830.759766,0.003213699556840144
2016-04-27,17996.140625,18084.660156,17920.259766,18041.550781,109090000.0,18041.550781,0.0118217629403512
2016-04-26,17987.380859,18043.769531,17934.169922,17990.320312,92570000.0,17990.320312,-0.002839582340890212
2016-04-25,17990.939453,17990.939453,17855.550781,17977.240234,83770000.0,17977.240234,-0.0007270619851762472
2016-04-22,17985.050781,18026.849609,17909.890625,18003.75,134120000.0,18003.75,0.0014746293454910298
2016-04-21,18092.839844,18107.289062,17963.890625,17982.519531,102720000.0,17982.519531,-0.0011792248281606854
2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,100210000.0,18096.269531,0.006325587457525428
2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,89820000.0,18053.599609,-0.002357940233311928
2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,89390000.0,18004.160156,-0.0027384817471720613
2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,118160000.0,17897.460938,-0.0059263646332563535
2016-04-14,17912.25,17962.140625,17885.439453,17926.429688,84510000.0,17926.429688,0.0016185955147689501
2016-04-13,17741.660156,17918.349609,17741.660156,17908.279297,91710000.0,17908.279297,-0.0010124933584599871
2016-04-12,17571.339844,17744.429688,17553.570312,17721.25,81020000.0,17721.25,-0.010443733532307209
2016-04-11,17586.480469,17731.630859,17555.900391,17556.410156,107100000.0,17556.410156,-0.009301818099738957
2016-04-08,17555.390625,17694.509766,17528.160156,17576.960938,79990000.0,17576.960938,0.0011705571820999072
2016-04-07,17687.279297,17687.279297,17484.230469,17541.960938,90120000.0,17541.960938,-0.00199124297558928
2016-04-06,17605.449219,17723.550781,17542.539062,17716.050781,99410000.0,17716.050781,0.009924195112239742
2016-04-05,17718.029297,17718.029297,17579.560547,17603.320312,115230000.0,17603.320312,-0.006363182765365627
2016-04-04,17799.390625,17806.380859,17710.669922,17737.0,85230000.0,17737.0,0.007594004178227198
2016-04-01,17661.740234,17811.480469,17568.019531,17792.75,104890000.0,17792.75,0.003143147093646048
2016-03-31,17716.050781,17755.699219,17669.720703,17685.089844,102600000.0,17685.089844,-0.006050787877084907
2016-03-30,17652.359375,17790.109375,17652.359375,17716.660156,79330000.0,17716.660156,0.0017851372132391408
